     #Energy           s          py          pz          px       tot
    -4.92288     0.04045     0.00655     0.00803     0.01310     0.06813
    -4.91288     0.04016     0.00653     0.00801     0.01308     0.06778
    -4.90288     0.03988     0.00652     0.00799     0.01305     0.06744
    -4.89288     0.03959     0.00651     0.00796     0.01303     0.06710
    -4.88188     0.03929     0.00650     0.00795     0.01301     0.06675
    -4.87188     0.03899     0.00650     0.00793     0.01300     0.06641
    -4.86188     0.03869     0.00649     0.00791     0.01298     0.06607
    -4.85088     0.03838     0.00648     0.00790     0.01296     0.06572
    -4.84088     0.03807     0.00648     0.00788     0.01295     0.06538
    -4.83088     0.03776     0.00647     0.00787     0.01294     0.06505
    -4.81988     0.03743     0.00647     0.00786     0.01292     0.06468
    -4.80988     0.03711     0.00647     0.00785     0.01291     0.06434
    -4.79988     0.03678     0.00647     0.00784     0.01290     0.06399
    -4.78988     0.03645     0.00647     0.00784     0.01289     0.06365
    -4.77888     0.03611     0.00647     0.00783     0.01288     0.06329
    -4.76888     0.03577     0.00647     0.00783     0.01288     0.06295
    -4.75888     0.03542     0.00648     0.00783     0.01287     0.06260
    -4.74788     0.03508     0.00649     0.00783     0.01287     0.06227
    -4.73788     0.03475     0.00650     0.00784     0.01286     0.06195
    -4.72788     0.03444     0.00652     0.00784     0.01284     0.06164
    -4.71688     0.03414     0.00654     0.00786     0.01283     0.06136
    -4.70688     0.03385     0.00656     0.00788     0.01282     0.06111
    -4.69688     0.03357     0.00659     0.00790     0.01282     0.06088
    -4.68688     0.03331     0.00663     0.00793     0.01283     0.06070
    -4.67588     0.03305     0.00667     0.00797     0.01284     0.06053
    -4.66588     0.03280     0.00671     0.00801     0.01285     0.06037
    -4.65588     0.03256     0.00676     0.00806     0.01287     0.06025
    -4.64488     0.03233     0.00681     0.00812     0.01289     0.06015
    -4.63488     0.03211     0.00687     0.00818     0.01292     0.06008
    -4.62488     0.03190     0.00693     0.00825     0.01296     0.06004
    -4.61388     0.03170     0.00700     0.00833     0.01300     0.06003
    -4.60388     0.03151     0.00707     0.00841     0.01305     0.06005
    -4.59388     0.03133     0.00715     0.00850     0.01310     0.06009
    -4.58388     0.03117     0.00724     0.00860     0.01317     0.06018
    -4.57288     0.03101     0.00733     0.00872     0.01324     0.06030
    -4.56288     0.03086     0.00743     0.00883     0.01331     0.06044
    -4.55288     0.03072     0.00754     0.00896     0.01340     0.06062
    -4.54188     0.03059     0.00764     0.00910     0.01349     0.06082
    -4.53188     0.03048     0.00776     0.00924     0.01359     0.06108
    -4.52188     0.03037     0.00788     0.00940     0.01369     0.06134
    -4.51088     0.03027     0.00801     0.00956     0.01380     0.06164
    -4.50088     0.03018     0.00815     0.00973     0.01392     0.06198
    -4.49088     0.03009     0.00828     0.00989     0.01404     0.06230
    -4.48088     0.02997     0.00840     0.01004     0.01414     0.06255
    -4.46988     0.02984     0.00851     0.01018     0.01422     0.06275
    -4.45988     0.02970     0.00862     0.01030     0.01429     0.06291
    -4.44988     0.02953     0.00872     0.01042     0.01434     0.06301
    -4.43888     0.02937     0.00881     0.01054     0.01440     0.06312
    -4.42888     0.02919     0.00892     0.01066     0.01445     0.06322
    -4.41888     0.02902     0.00902     0.01079     0.01451     0.06334
    -4.40788     0.02884     0.00913     0.01093     0.01457     0.06347
    -4.39788     0.02866     0.00924     0.01108     0.01464     0.06362
    -4.38788     0.02848     0.00936     0.01123     0.01471     0.06378
    -4.37788     0.02831     0.00948     0.01140     0.01480     0.06399
    -4.36688     0.02814     0.00961     0.01157     0.01489     0.06421
    -4.35688     0.02797     0.00974     0.01176     0.01499     0.06446
    -4.34688     0.02781     0.00988     0.01195     0.01510     0.06474
    -4.33588     0.02765     0.01002     0.01215     0.01522     0.06504
    -4.32588     0.02749     0.01017     0.01236     0.01535     0.06537
    -4.31588     0.02734     0.01033     0.01258     0.01548     0.06573
    -4.30488     0.02730     0.01074     0.01311     0.01591     0.06706
    -4.29488     0.02751     0.01171     0.01430     0.01695     0.07047
    -4.28488     0.02796     0.01324     0.01616     0.01861     0.07597
    -4.27488     0.02840     0.01478     0.01801     0.02030     0.08149
    -4.26388     0.02947     0.01660     0.02025     0.02233     0.08865
    -4.25388     0.03027     0.01829     0.02226     0.02422     0.09504
    -4.24388     0.03078     0.01985     0.02404     0.02595     0.10062
    -4.23288     0.03104     0.02125     0.02559     0.02751     0.10539
    -4.22288     0.03113     0.02248     0.02690     0.02887     0.10938
    -4.21288     0.03106     0.02354     0.02796     0.03004     0.11260
    -4.20188     0.03081     0.02443     0.02878     0.03100     0.11502
    -4.19188     0.03005     0.02499     0.02916     0.03160     0.11580
    -4.18188     0.02956     0.02596     0.02993     0.03262     0.11807
    -4.17188     0.02929     0.02718     0.03103     0.03392     0.12142
    -4.16088     0.02830     0.02805     0.03173     0.03483     0.12291
    -4.15088     0.02659     0.02857     0.03199     0.03532     0.12247
    -4.14088     0.02457     0.02884     0.03200     0.03556     0.12097
    -4.12988     0.02267     0.02897     0.03189     0.03565     0.11918
    -4.11988     0.02100     0.02892     0.03164     0.03555     0.11711
    -4.10988     0.01954     0.02867     0.03123     0.03524     0.11468
    -4.09888     0.01809     0.02843     0.03080     0.03499     0.11231
    -4.08888     0.01750     0.02905     0.03152     0.03579     0.11386
    -4.07888     0.01784     0.03057     0.03350     0.03773     0.11964
    -4.06888     0.01856     0.03246     0.03612     0.04023     0.12737
    -4.05788     0.01943     0.03425     0.03879     0.04273     0.13520
    -4.04788     0.02034     0.03618     0.04195     0.04566     0.14413
    -4.03788     0.02085     0.04452     0.05243     0.05781     0.17561
    -4.02688     0.02147     0.04115     0.04850     0.05161     0.16273
    -4.01688     0.02284     0.03931     0.04784     0.04882     0.15881
    -4.00688     0.02426     0.03877     0.04861     0.04809     0.15973
    -3.99588     0.02572     0.03949     0.05078     0.04938     0.16537
    -3.98588     0.02708     0.04055     0.05332     0.05127     0.17222
    -3.97588     0.02830     0.04151     0.05576     0.05308     0.17865
    -3.96588     0.02936     0.04237     0.05810     0.05481     0.18464
    -3.95488     0.03028     0.04313     0.06032     0.05646     0.19019
    -3.94488     0.03104     0.04379     0.06243     0.05803     0.19529
    -3.93488     0.03169     0.04443     0.06460     0.05959     0.20031
    -3.92388     0.03231     0.04513     0.06672     0.06110     0.20526
    -3.91388     0.03288     0.04588     0.06880     0.06257     0.21013
    -3.90388     0.03267     0.04612     0.06956     0.06295     0.21130
    -3.89288     0.03268     0.04604     0.06984     0.06307     0.21163
    -3.88288     0.03277     0.04593     0.07026     0.06346     0.21242
    -3.87288     0.03251     0.04562     0.07047     0.06379     0.21239
    -3.86288     0.03198     0.04524     0.07056     0.06416     0.21194
    -3.85188     0.03200     0.04525     0.07052     0.06375     0.21152
    -3.84188     0.03206     0.04528     0.07050     0.06344     0.21128
    -3.83188     0.03215     0.04533     0.07048     0.06320     0.21116
    -3.82088     0.03228     0.04538     0.07044     0.06300     0.21110
    -3.81088     0.03245     0.04542     0.07036     0.06281     0.21104
    -3.80088     0.03268     0.04552     0.07044     0.06274     0.21138
    -3.78988     0.03295     0.04562     0.07054     0.06273     0.21184
    -3.77988     0.03325     0.04570     0.07060     0.06273     0.21228
    -3.76988     0.03357     0.04578     0.07059     0.06274     0.21268
    -3.75988     0.03416     0.04614     0.07087     0.06296     0.21413
    -3.74888     0.03512     0.04688     0.07158     0.06331     0.21689
    -3.73888     0.03613     0.04759     0.07232     0.06340     0.21944
    -3.72888     0.03804     0.05041     0.07530     0.06520     0.22895
    -3.71788     0.04077     0.05551     0.08075     0.06884     0.24587
    -3.70788     0.04062     0.05365     0.07909     0.06574     0.23910
    -3.69788     0.04086     0.05320     0.07844     0.06361     0.23611
    -3.68688     0.04096     0.05266     0.07756     0.06128     0.23246
    -3.67688     0.04098     0.05227     0.07668     0.05989     0.22982
    -3.66688     0.04067     0.05179     0.07565     0.05890     0.22701
    -3.65688     0.04023     0.05115     0.07436     0.05776     0.22350
    -3.64588     0.03959     0.05032     0.07281     0.05644     0.21916
    -3.63588     0.03842     0.04883     0.07094     0.05479     0.21298
    -3.62588     0.03688     0.04715     0.06848     0.05281     0.20532
